contract_code,delivery_month,expiry_date,n_days_with_data,price_source,covid_negative_price,M1M2_pre_baseline,M1M2_pre_vol,M1M2_entry,M1M2_expiry_week_mean,M1M2_expiry_week_end,M1M2_expiry_week_chg,M1M2_expiry_week_chg_pct,M1M2_on_expiry,M1M2_post_1d,M1M2_post_5d,M1M2_post_chg,M1M2_post_chg_pct,roll_compression,roll_reversion
CLX24,2024-11,2024-10-22,26,regime_labels_daily,FALSE,0.6701,0.0749,0.5719,0.529,0.5315,-0.0404,-0.0707,0.5386,0.4213,0.4215,-0.1171,-0.2174,-0.1387,-0.1099
CLZ24,2024-12,2024-11-20,26,regime_labels_daily,FALSE,0.1948,0.0592,0.1538,0.0764,0.0452,-0.1085,-0.7058,0.1693,0.3245,0.3317,0.1623,0.9587,-0.1496,0.2864
CLF25,2025-01,2024-12-18,26,regime_labels_daily,FALSE,0.2997,0.0702,0.4033,0.4345,0.4312,0.028,0.0693,0.5266,0.7908,0.2397,-0.2868,-0.5447,0.1316,-0.1915
CLG25,2025-02,2025-01-21,26,regime_labels_daily,FALSE,1.02,0.3163,1.3124,0.8309,0.5155,-0.797,-0.6072,0.3027,0.7483,0.6437,0.341,1.1263,-0.5046,0.1282
CLH25,2025-03,2025-02-20,26,regime_labels_daily,FALSE,0.2184,0.0587,0.0302,0.0466,0.1404,0.1102,3.6483,0.1325,0.1646,0.2763,0.1438,1.0846,-0.078,0.1359
CLJ25,2025-04,2025-03-20,26,regime_labels_daily,FALSE,0.3105,0.0335,0.2836,0.2209,0.2168,-0.0668,-0.2356,0.2626,0.3784,0.4361,0.1735,0.6608,-0.0937,0.2193
CLK25,2025-05,2025-04-22,26,regime_labels_daily,FALSE,0.5425,0.0617,0.5742,0.7134,0.6516,0.0774,0.1348,0.6769,0.6771,0.6743,-0.0025,-0.0038,0.109,0.0228
CLM25,2025-06,2025-05-20,26,regime_labels_daily,FALSE,0.4401,0.03,0.4658,0.4,0.569,0.1032,0.2215,0.5223,0.5426,0.6206,0.0983,0.1882,0.1289,0.0516
CLN25,2025-07,2025-06-20,26,regime_labels_daily,FALSE,1.3138,0.2669,1.761,1.7883,2.39,0.629,0.3572,1.4233,1.2312,1.4256,0.0023,0.0016,1.0762,-0.9644
CLQ25,2025-08,2025-07-22,26,regime_labels_daily,FALSE,1.28,0.1125,1.2662,1.3168,1.2721,0.0059,0.0046,1.0598,0.7958,0.8343,-0.2255,-0.2128,-0.0079,-0.4378
CLU25,2025-09,2025-08-20,26,regime_labels_daily,FALSE,0.8002,0.0809,0.9105,0.7745,0.5524,-0.3581,-0.3933,0.4786,0.4148,0.4737,-0.0048,-0.01,-0.2478,-0.0787
CLV25,2025-10,2025-09-22,26,regime_labels_daily,FALSE,0.2893,0.0235,0.3626,0.2349,-0.195,-0.5576,-1.5377,0.3965,0.4736,0.54,0.1435,0.362,-0.4843,0.735
CLX25,2025-11,2025-10-21,26,regime_labels_daily,FALSE,0.4145,0.0487,0.4311,0.4411,0.512,0.0809,0.1875,0.573,0.2383,0.5256,-0.0474,-0.0827,0.0975,0.0136
CLZ25,2025-12,2025-11-20,26,regime_labels_daily,FALSE,0.0748,0.0548,0.1262,0.1176,0.1821,0.0559,0.4433,0.2645,0.2434,0.2019,-0.0626,-0.2365,0.1073,0.0198
CLF26,2026-01,2025-12-18,26,regime_labels_daily,FALSE,0.2072,0.0684,0.2055,0.1516,0.1225,-0.0831,-0.4041,0.2128,0.1809,0.2117,-0.0011,-0.0052,-0.0847,0.0892
CLG26,2026-02,2026-01-20,26,regime_labels_daily,FALSE,0.1827,0.0447,0.1669,0.0225,0.1439,-0.023,-0.1377,0.1805,0.2456,0.218,0.0375,0.2079,-0.0388,0.0741
CLH26,2026-03,2026-02-20,26,regime_labels_daily,FALSE,0.1648,0.0092,0.1015,0.1147,0.0742,-0.0273,-0.2688,0.0592,0.0467,0.124,0.0648,1.0962,-0.0906,0.0498
CLJ26,2026-04,2026-03-20,26,regime_labels_daily,FALSE,1.6376,0.4236,2.8917,1.2015,0.595,-2.2967,-0.7942,1.3975,2.6862,5.4118,4.0143,2.8725,-1.0426,4.8168
CLK26,2026-05,2026-04-21,26,regime_labels_daily,FALSE,6.2231,1.8531,3.1736,2.2799,1.7317,-1.4419,-0.4543,2.5917,4.5267,4.9202,2.3285,0.8985,-4.4914,3.1885
CLM26,2026-06,2026-05-19,19,regime_labels_daily,FALSE,3.7046,0.2788,4.287,4.2273,4.2517,-0.0353,-0.0082,4.279,4.2025,,,,0.5471,
CLN26,2026-07,2026-06-22,0,unavailable,FALSE,,,,,,,,,,,,,,
CLQ26,2026-08,2026-07-21,0,unavailable,FALSE,,,,,,,,,,,,,,
