signal,horizon,regime,ic,n_bars,product
vwap_dev,fwd_ret_4,Stable-Elevated,,0,WTCL_LCO
vwap_dev,fwd_ret_4,Easing-Backwardation,,0,WTCL_LCO
vwap_dev,fwd_ret_4,Deep-Backwardation,,0,WTCL_LCO
vwap_dev,fwd_ret_4,Backwardation-Deficit,,0,WTCL_LCO
vwap_dev,fwd_ret_4,Transition-Tightening,,0,WTCL_LCO
vwap_dev,fwd_ret_4,Transition-Loosening,,0,WTCL_LCO
vwap_dev,fwd_ret_4,Contango-Surplus,,0,WTCL_LCO
vwap_dev,fwd_ret_4,Deep-Contango,,0,WTCL_LCO
vwap_dev,fwd_ret_4,Easing-Contango,,0,WTCL_LCO
vwap_dev,fwd_ret_4,Stable-Depressed,,0,WTCL_LCO
vwap_dev,fwd_ret_8,ALL,,0,WTCL_LCO
vwap_dev,fwd_ret_8,Warm-Up,,0,WTCL_LCO
vwap_dev,fwd_ret_8,Stable-Elevated,,0,WTCL_LCO
vwap_dev,fwd_ret_8,Easing-Backwardation,,0,WTCL_LCO
vwap_dev,fwd_ret_8,Deep-Backwardation,,0,WTCL_LCO
vwap_dev,fwd_ret_8,Backwardation-Deficit,,0,WTCL_LCO
vwap_dev,fwd_ret_8,Transition-Tightening,,0,WTCL_LCO
vwap_dev,fwd_ret_8,Transition-Loosening,,0,WTCL_LCO
vwap_dev,fwd_ret_8,Contango-Surplus,,0,WTCL_LCO
vwap_dev,fwd_ret_8,Deep-Contango,,0,WTCL_LCO
vwap_dev,fwd_ret_8,Easing-Contango,,0,WTCL_LCO
vwap_dev,fwd_ret_8,Stable-Depressed,,0,WTCL_LCO
rsi,fwd_ret_1,ALL,-0.0411965997224565,65124,WTCL_LCO
rsi,fwd_ret_1,Warm-Up,-0.042911150937025,27852,WTCL_LCO
rsi,fwd_ret_1,Stable-Elevated,-0.0481223930708964,13293,WTCL_LCO
rsi,fwd_ret_1,Easing-Backwardation,-0.0327621464712616,10341,WTCL_LCO
rsi,fwd_ret_1,Deep-Backwardation,-0.0577531598719806,4908,WTCL_LCO
rsi,fwd_ret_1,Backwardation-Deficit,-0.0237939863265855,155,WTCL_LCO
rsi,fwd_ret_1,Transition-Tightening,-0.0511497433933365,1151,WTCL_LCO
rsi,fwd_ret_1,Transition-Loosening,-0.0141768444044134,1793,WTCL_LCO
rsi,fwd_ret_1,Contango-Surplus,-0.0464095140940724,1584,WTCL_LCO
rsi,fwd_ret_1,Deep-Contango,-0.0154321147310454,3501,WTCL_LCO
rsi,fwd_ret_1,Easing-Contango,-0.138842474527583,85,WTCL_LCO
rsi,fwd_ret_1,Stable-Depressed,-0.0915944778525686,263,WTCL_LCO
rsi,fwd_ret_4,ALL,-0.0679674997677291,65124,WTCL_LCO
rsi,fwd_ret_4,Warm-Up,-0.0714535859329792,27852,WTCL_LCO
rsi,fwd_ret_4,Stable-Elevated,-0.0865637245541852,13293,WTCL_LCO
rsi,fwd_ret_4,Easing-Backwardation,-0.0523179724934791,10341,WTCL_LCO
rsi,fwd_ret_4,Deep-Backwardation,-0.0957888129664034,4908,WTCL_LCO
rsi,fwd_ret_4,Backwardation-Deficit,0.0844253882012443,155,WTCL_LCO
rsi,fwd_ret_4,Transition-Tightening,-0.0745244811570424,1151,WTCL_LCO
rsi,fwd_ret_4,Transition-Loosening,-0.0310226183710732,1793,WTCL_LCO
rsi,fwd_ret_4,Contango-Surplus,-0.0606358858671078,1584,WTCL_LCO
rsi,fwd_ret_4,Deep-Contango,-0.0207299424685531,3501,WTCL_LCO
rsi,fwd_ret_4,Easing-Contango,-0.510243068431229,85,WTCL_LCO
rsi,fwd_ret_4,Stable-Depressed,-0.116994034033189,263,WTCL_LCO
rsi,fwd_ret_8,ALL,-0.0716910331221755,65124,WTCL_LCO
rsi,fwd_ret_8,Warm-Up,-0.0683524915545762,27852,WTCL_LCO
rsi,fwd_ret_8,Stable-Elevated,-0.103943035315144,13293,WTCL_LCO
rsi,fwd_ret_8,Easing-Backwardation,-0.0501965920995888,10341,WTCL_LCO
rsi,fwd_ret_8,Deep-Backwardation,-0.106910977918028,4908,WTCL_LCO
rsi,fwd_ret_8,Backwardation-Deficit,0.145689794076891,155,WTCL_LCO
rsi,fwd_ret_8,Transition-Tightening,-0.062051203003639,1151,WTCL_LCO
rsi,fwd_ret_8,Transition-Loosening,-0.0635114072335986,1793,WTCL_LCO
